[ 9.76985498e-01  1.62847928e-01 -1.37767521e-01  1.18430812e-04],[-1.34109860e-01  9.71196825e-01  1.96955002e-01 -6.86892004e-05],[ 1.65873092e-01 -1.73946198e-01  9.70684726e-01 -3.67548453e-05],[0. 0. 0. 1.]
[ 9.95274294e-01  7.46619283e-02  6.20860326e-02 -3.97731221e-05],[-8.07867003e-02  9.91413220e-01  1.02826725e-01 -4.86272102e-05],[-5.38756719e-02 -1.07356522e-01  9.92759784e-01 -1.99280225e-05],[0. 0. 0. 1.]
[ 9.98768736e-01 -4.95541120e-02 -2.32400659e-03  2.80053188e-05],[ 4.91095549e-02  9.94264378e-01 -9.50084155e-02  6.27980196e-05],[ 7.01873462e-03  9.47773042e-02  9.95473757e-01 -3.89374285e-05],[0. 0. 0. 1.]
